,timestep,samples,flow,density,velocity
1448,3600,300,1787.9976,33.36039,56.464451999999994
1449,3900,300,885.6,69.29167,18.570708000000003
1450,4200,300,1171.2024000000001,53.2399,28.615572
1451,4500,300,1795.1975999999997,36.35954,51.11953200000001
1452,4800,300,1490.3999999999999,44.32358,37.269558
1453,5100,300,955.2024,68.03083000000001,18.777906
1454,5400,300,1336.8024,47.066039999999994,34.115958000000006
1455,5700,300,1848.0023999999999,36.350229999999996,51.980238
1456,6000,300,1243.2024,48.41333,31.357529999999997
1457,6300,300,993.5999999999999,60.906020000000005,21.417372
1458,6600,300,1754.4024,36.27708,52.057188
1459,6900,300,1545.6024,35.655969999999996,51.576696
1460,7200,300,1022.3999999999999,61.50718,24.540840000000003
1461,7500,300,1319.9976,47.205690000000004,34.344
1462,7800,300,1728.0,39.01289,49.215006
1463,8100,300,1353.6,50.799350000000004,37.330848
1464,8400,300,1024.7975999999999,61.36487,23.193432
1465,8700,300,1540.8000000000002,46.95964,38.12805
1466,9000,300,1658.3975999999998,39.33874,44.03619
1467,9300,300,1195.1999999999998,51.05604,30.502386000000005
1468,9600,300,1130.4,55.32933,26.82801
1469,9900,300,1701.5975999999998,44.47254,38.942478
1470,1200,200,2538.0,20.39688,124.11576000000002
1471,1500,300,1192.8024,53.41945,28.401623999999998
1472,1800,300,455.9976,99.16214000000001,12.562128
1473,2100,300,1461.6,47.66321,50.976378000000004
1474,2400,300,2064.0024,25.05587,83.64977999999999
1475,2700,300,1247.9976000000001,54.427589999999995,30.93579
1476,3000,300,777.6000000000001,77.73983,15.299982000000002
1477,3300,300,1528.7976,39.04481,53.686368
1478,3600,300,1888.7976000000003,30.74561,66.04194600000001
1479,3900,300,1012.8024000000001,62.612410000000004,22.290983999999998
1480,4200,300,936.0,60.693220000000004,22.915386
1481,4500,300,1730.3976,36.42471,53.955072
1482,4800,300,1560.0024,32.76987,59.574474
1483,5100,300,1056.0023999999999,51.49228,26.067258000000002
1484,5400,300,1247.9976000000001,52.00699,32.161158
1485,5700,300,1696.8023999999998,39.8867,46.575972
